Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-October-2017,33.00,33.45,32.20,32.65,32.799620287469536404,2003621,4217,65718008.00,473366,23.63,1.25,-0.35
26-October-2017,30.00,32.85,29.00,32.60,31.628301802381178733,1788190,3279,56557413.00,675437,37.77,3.85,2.60
25-October-2017,30.25,30.65,29.80,30.25,30.299289911413565275,615557,882,18650940.00,167980,27.29,0.85,0.00
24-October-2017,30.50,30.85,29.90,30.00,30.214856572724064657,787786,1051,23802841.00,174616,22.17,0.95,-0.50
23-October-2017,29.10,30.70,29.10,30.45,30.003699349638692885,1176423,1669,35297042.00,225872,19.20,1.60,1.35
19-October-2017,29.40,29.40,28.90,29.05,29.094353693181818181,225280,500,6554376.00,107529,47.73,0.50,-0.35
18-October-2017,29.85,30.00,29.05,29.25,29.558595103718005841,646368,970,19105730.00,140294,21.70,0.95,-0.60
17-October-2017,29.60,30.00,29.55,29.75,29.809656232346076810,525733,698,15671920.00,132962,25.29,0.45,0.15
16-October-2017,30.15,30.30,29.60,29.90,29.909432141941902708,597033,855,17856918.00,121055,20.28,0.70,-0.25
13-October-2017,30.25,30.35,29.90,30.05,30.104320764717194410,426406,687,12836663.00,125852,29.51,0.45,-0.20
12-October-2017,30.05,30.35,29.75,30.20,30.057451682760268961,686194,840,20625243.00,173163,25.24,0.60,0.15
11-October-2017,30.35,30.85,29.60,30.05,30.343111351019325537,1074485,1689,32603218.00,204647,19.05,1.25,-0.30
10-October-2017,30.00,30.50,29.70,29.95,30.114601280262792381,658771,924,19838626.00,105337,15.99,0.80,-0.05
9-October-2017,30.80,30.80,29.85,30.10,30.164822037737059203,748389,1204,22575021.00,187800,25.09,0.95,-0.70
6-October-2017,30.80,31.35,30.50,30.85,30.908159558536638374,966241,1555,29864731.00,203478,21.06,0.85,0.05
5-October-2017,29.95,30.65,29.50,30.35,30.000387220781159609,1071740,1485,32152615.00,180726,16.86,1.15,0.40
4-October-2017,29.25,29.75,28.90,29.40,29.301774739943765596,986229,1320,28898260.00,134985,13.69,0.85,0.15
3-October-2017,29.55,29.65,28.75,29.00,29.043381282207341510,1460653,1974,42422302.00,251484,17.22,0.90,-0.55
29-September-2017,29.25,29.95,29.25,29.55,29.673041809844230792,668168,1014,19826577.00,129892,19.44,0.70,0.30
28-September-2017,29.40,30.05,28.85,29.35,29.506271687617298786,814693,1740,24038553.00,116402,14.29,1.20,-0.05
27-September-2017,30.15,30.45,29.00,29.10,29.549781430836857333,1150208,1779,33988395.00,289627,25.18,1.45,-1.05
26-September-2017,30.90,31.00,30.00,30.20,30.418211236518280161,989488,1652,30098455.00,217736,22.00,1.00,-0.70
25-September-2017,30.75,31.15,29.60,30.80,30.335089717253066406,2202252,3103,66805512.00,318231,14.45,1.55,0.05
22-September-2017,32.30,32.30,30.30,30.50,31.055173134207094494,1206203,1732,37458843.00,306833,25.44,2.00,-1.80
21-September-2017,32.35,32.65,31.20,32.30,31.980092725267046413,1528386,1984,48877926.00,159982,10.47,1.45,-0.05
20-September-2017,32.25,33.25,32.05,32.40,32.575116496465000486,1838897,2729,59902284.00,340642,18.52,1.20,0.15
19-September-2017,31.75,32.05,31.15,31.65,31.618841808455698579,724198,1034,22898302.00,84768,11.71,0.90,-0.10
18-September-2017,31.60,32.10,31.40,31.55,31.744995879425655329,504784,827,16024366.00,111681,22.12,0.70,-0.05
15-September-2017,32.10,32.15,31.35,31.45,31.662613571114939034,1006638,1349,31872790.00,177893,17.67,0.80,-0.65
14-September-2017,32.00,32.60,31.20,32.15,31.910995989910052991,1490989,1975,47578944.00,175632,11.78,1.40,0.15
13-September-2017,33.15,33.45,31.70,31.90,32.672219962456053913,1570959,2600,51326718.00,422256,26.88,1.75,-1.25
12-September-2017,31.20,33.40,31.15,33.15,32.464775210492740771,2210290,3394,71756568.00,559030,25.29,2.25,1.95
11-September-2017,31.05,31.50,31.00,31.20,31.207486971678330959,565115,828,17635819.00,177778,31.46,0.50,0.15
8-September-2017,30.50,31.50,30.50,30.85,31.013683968694843508,726909,1099,22544126.00,108262,14.89,1.00,0.35
7-September-2017,31.65,31.90,31.20,31.60,31.521761636414487052,647171,1264,20399970.00,162207,25.06,0.70,-0.05
6-September-2017,30.95,32.00,30.35,31.45,31.355615362497037390,831193,1607,26062568.00,148758,17.90,1.65,0.50
5-September-2017,30.90,31.60,30.75,31.10,31.253787805975141381,1040444,1586,32517816.00,301736,29.00,0.85,0.20
4-September-2017,32.70,32.70,30.40,30.90,31.168118276202106410,1548511,2601,48264174.00,309338,19.98,2.30,-1.80
1-September-2017,33.20,33.65,32.35,32.60,32.888168666780878664,1424252,2311,46841040.00,302870,21.27,1.30,-0.60
31-August-2017,32.50,33.50,32.15,33.25,32.507558625237506492,6120359,5057,198957929.00,,,1.35,0.75
30-August-2017,30.30,32.95,30.10,32.25,31.770101516219108014,1915950,4212,60869926.00,660433,34.47,2.85,1.95
29-August-2017,30.30,30.35,29.65,29.75,29.960742172429562687,531359,989,15919910.00,124706,23.47,0.70,-0.55
28-August-2017,28.90,30.45,28.90,30.30,30.118208021687834152,1522697,3296,45860905.00,266969,17.53,1.55,1.40
24-August-2017,28.60,29.10,28.35,28.55,28.690166515296572727,813679,1163,23344586.00,113345,13.93,0.75,-0.05
23-August-2017,27.90,28.65,27.80,28.30,28.245397253215481876,403672,730,11401876.00,93398,23.14,0.85,0.40
22-August-2017,28.00,28.40,27.65,27.80,27.980092560767388586,538241,848,15060033.00,117735,21.87,0.75,-0.20
21-August-2017,29.10,29.10,27.75,27.90,28.318861444262780770,455665,781,12903914.00,115124,25.27,1.35,-1.20
18-August-2017,28.65,29.00,28.10,28.80,28.551872518232072876,385310,880,11001322.00,91465,23.74,0.90,0.15
17-August-2017,29.95,29.95,28.60,28.75,29.156357459833635368,624652,1157,18212577.00,214525,34.34,1.35,-1.20
16-August-2017,28.75,29.70,28.45,29.50,29.196116493202963034,999921,1525,29193810.00,171278,17.13,1.25,0.75
14-August-2017,27.15,28.75,27.15,28.60,28.313108032136644589,642133,1238,18180781.00,141059,21.97,1.60,1.45
11-August-2017,27.50,28.15,25.90,27.35,27.199757191463774310,2098773,3257,57086116.00,454575,21.66,2.25,-0.15
10-August-2017,31.10,31.10,27.70,28.75,29.359669825714225478,2703663,4034,79378653.00,499977,18.49,3.40,-2.35
9-August-2017,31.60,32.85,30.85,31.55,31.681596348895448122,733148,1241,23227299.00,140615,19.18,2.00,-0.05
8-August-2017,33.00,33.20,31.35,31.65,32.145505183921616630,759753,1084,24422644.00,117837,15.51,1.85,-1.35
7-August-2017,32.80,33.55,32.75,32.85,33.055386410427958719,618798,911,20454607.00,101067,16.33,0.80,0.05
4-August-2017,32.50,32.95,32.00,32.85,32.597819448073887032,646717,879,21081564.00,118339,18.30,0.95,0.35
3-August-2017,33.30,33.35,32.00,32.45,32.701697652477077339,1286718,1618,42077863.00,163830,12.73,1.35,-0.85
2-August-2017,33.35,33.65,32.95,33.15,33.208366870135350907,459694,821,15265687.00,104209,22.67,0.70,-0.20
1-August-2017,33.50,33.90,33.25,33.35,33.521298484279646356,543372,793,18214535.00,123418,22.71,0.65,-0.15
31-July-2017,33.80,33.95,33.20,33.45,33.476067862350486559,550703,927,18435371.00,136546,24.79,0.75,-0.35
